"Lon";"Lat"
7423880,62646887;5547947,39256926
7430823,44930275;5549040,65886382
7425815,61440111;5547329,35724716
7423685,10924153;5548121,378128
7423866,97580906;5547753,02654274
7429003,45067807;5551706,25015305
7424100,52570744;5544890,70530782
7424277,51674239;5547858,66300408
7424167,70483896;5546064,53887607
7423839,21507302;5546522,87086218
7420436,29077758;5549647,93526163
7428272,6924329;5543484,19984954
7423929,11360659;5547502,78412631
7424550,25886961;5546477,26042524
7429008,05566428;5542159,21241221
7423072,72818266;5547180,26094405
7422778,56689174;5546836,53546578
7425955,76709004;5546396,24201615
7429155,67888871;5549856,64812222
7424530,99046394;5545774,5528061
7423124,92982636;5546077,9842733
7424676,10551932;5546862,37247449
7421475,87841435;5550325,24840866
7431048,46715738;5549982,87528081
7422833,20209381;5549808,34547254
7420842,00835019;5550578,55098257
7423986,34624271;5545876,72545503
7423665,29431677;5547977,27002937
7424077,49629918;5548326,92954521
7426209,72449552;5549971,61519298
7425933,15369136;5547231,23727713
7423715,1300415;5548190,03836335
7429606,72383793;5547822,38138586
7430288,5048903;5550134,9904295
7424182,9779934;5545345,76229155
7423692,01030816;5548516,80499576
7424835,7389033;5548455,90970019
7424083,33822059;5547527,58164209
7424084,67022215;5548479,22770256
7424963,79644941;5548261,69128658
7420803,17605772;5549902,8440966
7424611,84023202;5548014,03963077
7422393,3159539;5551549,7773929
7431276,63724828;5549722,48536787
7429040,97482394;5549662,71959826
7432510,8583687;5550962,78364707
7423568,91501452;5546201,99913546
7429681,98506966;5551120,52440081
7423925,93548627;5547549,63498691
7428866,35471665;5543057,29521989
7424020,85538;5550408,13536002
7421463,9257914;5549347,2913517
7424085,13611693;5547528,11233447
7423817,67712542;5547996,87870382
7425971,67633442;5549832,14058343
7424458,15604258;5546931,0343037
7424433,70718382;5546439,5702135
7424455,08385077;5551383,57911673
7426552,13033034;5550350,75792642
7424043,80896484;5548608,98967128
7422930,33114808;5547218,47792613
7424519,85161777;5546788,80501418
7424550,25886961;5546477,26042524
7431401,1056399;5544940,8246664
7421721,81392059;5550700,23490822
7422214,20194559;5548922,37069521
7428250,35375878;5545145,88344161
7425190,53145622;5547069,04415486
7421224,72116937;5547547,38392892
7423913,11746787;5546324,70692579
7427644,61975312;5548546,70403117
7421411,53983116;5547975,46381101
7423685,09527766;5548384,18861095
7419828,74597305;5549804,75191657
7425706,8755189;5546022,26607938
7426566,10601636;5542136,67056077
7424835,73961918;5548455,90969013
7423702,16742459;5547956,25339779
7424347,65606481;5543729,48340067
7423951,81482993;5544485,50350422
7424411,50092625;5546967,32010639
7424949,65262237;5548746,71453724
7421728,26504004;5550419,40008767
7430794,58101224;5549461,93066502
7424402,14521278;5546705,97943535
7423854,0720787;5547912,10665789
7424631,05101249;5546636,83196979
7429461,94903454;5547902,60115721
7427089,57694383;5549376,36715309
7426253,85328079;5544613,3425872
7427051,07902788;5551555,52664928
7429874,43434465;5550892,27920858
7423235,42753062;5547258,68532817
7425798,55596842;5546960,65034426
7423806,1722706;5546912,80043121
7424541,72032981;5546802,44503391
7429681,98506966;5551120,52440081
7424012,1605684;5547528,34959371
7424447,07156971;5547908,10378976
7429136,96330367;5552538,4127066
7431560,5386701;5549597,76931613
7424280,26429364;5548002,12903986
7423566,27632384;5547989,39086153
7426046,34974297;5545987,72511972
7426655,33176257;5542110,81496776
7424084,17461315;5545541,48142904
7429578,29991674;5549330,58434116
7429090,43308899;5550368,05559406
7427266,43116619;5548508,67172456
7423892,8912439;5547719,03859525
7424103,59382682;5547710,83587335
7425247,25931409;5543719,47788935
7432422,17410108;5542999,76489038
7422190,93493943;5545894,95976308
7432017,0206839;5545554,11419197
7423490,33227157;5547129,44329871
7422404,20510678;5550194,13800563
7427395,03839465;5549008,11304494
7431353,03817481;5549575,65907928
7424847,59826278;5547705,3440697
7424550,25886961;5546477,26042524
7423956,25094003;5547697,13089842
7422641,06952303;5549074,26435818
7424036,07508332;5546982,95068414
7430794,58101224;5549461,93066502
7427318,11271889;5549875,9937935
7424219,97611164;5547643,67087617
7423836,68907407;5548054,50776682
7424261,73964221;5548389,43340684
7424031,21537673;5548703,56425876
7423216,08372923;5548082,30548356
7424167,70483896;5546064,53887607
7423958,44202146;5547426,7913486
7430917,08081447;5549134,50887351
7424428,16050022;5545789,40572002
7423105,10372826;5542355,39770517
7424280,29154427;5548314,84745539
7424215,97831959;5548190,47559018
7431523,67477576;5548360,39122264
7433059,03437686;5542737,15501017
7422808,53899737;5548849,09412895
7423970,10986416;5547448,01935238
7425065,16726936;5548686,57561013
